CID,z,width,bands,err
1297742,0.46364,1.6398294765625003,3,0.09975866152676195
1297927,0.28605,1.3900391992187504,4,0.07671796706250335
1298079,0.26136,1.2701057578125,4,0.07879534943237976
1298246,0.61058,1.4950292734374997,3,0.15392288468689025
1298266,0.49038,1.4624353749999999,3,0.1367022464972252
1298369,0.47917,1.7723075963541672,3,0.1536152182231749
1298763,0.61093,1.4334759921875,3,0.14221689409060176
1298893,0.19712,0.9985352499999997,3,0.09034890997482077
1299033,0.69363,1.523219507486979,3,0.1393695235496123
1299090,0.68474,1.4480428046875007,3,0.16922794274909836
1299190,0.69974,1.8699353203125006,3,0.13210040167426026
1299258,0.80255,1.8618135253906252,3,0.1310451440355117
1299266,0.9144,1.9375821874999999,2,0.1769492487776747
1299327,0.98316,2.1090441796875004,2,0.20610974148808725
1299439,0.59271,1.7531216126302083,3,0.1322483405709935
1299643,0.37727,1.4811704956054688,4,0.08163264472269861
1299712,0.73129,1.5715739889322917,3,0.13737138000254803
1299746,0.36621,1.4591696501464848,4,0.08026021878702483
1299758,0.47293,1.4364903255208334,3,0.10292436730764488
1299775,0.16051,1.203349138671875,3,0.08149801265755456
1299785,0.38182,1.3134486979166666,3,0.09856633041849304
1300025,0.41459,1.5740997578125002,3,0.10048694179071958
1300084,0.61958,1.6691374609375,3,0.1341780836919431
1300160,0.41029,1.489802444010417,3,0.10091663639113657
1300179,0.31818,1.302861306640625,4,0.0765776369147434
1300390,0.2686,1.0763587841796867,4,0.07538286884704515
1300441,0.4859,1.58496,3,0.09961281293129197
1300470,0.5152,1.5256564583333334,3,0.10315184485327795
1300516,0.31151,1.4701975869140627,4,0.08226503664249986
1300517,0.40132,1.4551467447916668,3,0.10089073652488968
1300531,0.58567,1.6768253782552083,3,0.1253227932260892
